trajanje
527,905
215,108
124,065
741,999
76,324
277,823
34,994
93,294
19,389
512,591
218,087
291,388
131,607
35,588
920,552
280,871
326,663
61,983
158,092
58,606
189,346
148,126
12,411
406,252
193,242
99,347
133,892
136,098
450,767
373,461
100,94
135,913
12,816
69,572
94,33
322,625
195,984
160,815
39,575
39,925
300,947
99,074
11,645
475,953
226,016
97,616
15,055
25,432
961,809
36,543
181,884
505,198
138,499
135,239
81,348
297,767
93,697
197,741
215,671
73,169
7,803
82,575
0,949
202,016
212,485
44,314
7,64
22,918
88,031
66,165
1,516
81,599
211,202
462,35
90,159
193,717
7,638
229,188
421,433
940,394
5,285
21,03
102,478
73,351
71,334
37,544
58,082
9,84
175,58
174,811
289,618
70,196
12,639
212,97
65,816
69,841
35,052
317,701
109,528
25,46
