koncentracija_lijeka
13,95612425
13,05605172
12,21402758
11,42630812
10,68939106
10
9,35506985
8,75173319
8,187307531
7,659283384
7,165313106
6,70320046
6,270890853
5,866462195
5,488116361
5,13417119
4,803053011
4,493289641
4,203503845
3,932407209
3,678794412
3,441537869
3,219582715
3,011942119
2,817692891
2,635971381
2,465969639
2,306931823
2,158150834
2,01896518
1,888756028
1,766944458
1,652988882
1,546382645
1,446651766
1,353352832
1,266071028
1,18441829
1,108031584
1,036571286
0,969719679
0,907179533
0,84867279
0,793939323
0,742735782
0,694834512
0,65002254
0,608100626
0,568882383
0,532193443
0,497870684
0,465761502
0,435723139
0,40762204
0,381333265
0,356739933
0,3337327
0,312209272
0,292073954
0,273237224
0,255615332
0,239129929
0,223707719
0,209280133
0,195783027
0,183156389
0,171344081
0,160293585
0,149955768
0,140284669
0,131237287
0,122773399
0,114855372
0,107448003
0,100518357
0,094035626
0,087970985
0,08229747
0,076989858
0,07202455
0,06737947
0,063033965
0,058968714
0,055165644
0,051607845
0,0482795
0,045165809
0,04225293
0,039527911
0,036978637
0,034593773
0,032362717
0,030275547
0,028322986
0,026496351
0,024787522
0,0231889
0,021693378
0,020294306
0,018985465
0,017761035
